id,budget,revenue,original_title,director,genres,production_companies,vote_count,release_year,budget_adj,revenue_adj
163907,0,0,The Villain,Hal Needham,Comedy|Western,Rastar Pictures,21,1979,0.0,0.0
11343,4000000,0,Salem's Lot,Tobe Hooper,Mystery|Horror|Thriller,Warner Bros. Television,60,1979,12018216.0100063,0.0
29723,14000000,13015688,The Concorde... Airport '79,David Lowell Rich,Action|Drama|Thriller,Universal Pictures,23,1979,42063756.0350222,39106337.4757119
12102,8000000,106260000,Kramer vs. Kramer,Robert Benton,Drama,Columbia Pictures,240,1979,24036432.0200127,319263908.305819
988,0,51718367,The China Syndrome,James Bridges,Thriller|Drama,Columbia Pictures|IPC Films,35,1979,0.0,155390626.572696
6471,0,73961419,The Jerk,Carl Reiner,Comedy,Universal Pictures|Aspen Film Society,136,1979,0.0,222221077.487147
11519,35000000,31755742,1941,Steven Spielberg,Action|Comedy,Columbia Pictures|Universal Pictures|A-Team,62,1979,105159390.087555,95411841.7285079
17443,0,33300000,...And Justice for All,Norman Jewison,Crime|Drama|Mystery|Thriller,Columbia Pictures Corporation,48,1979,0.0,100051648.283303
24750,0,0,Time After Time,Nicholas Meyer,Adventure|Drama|Comedy|Science Fiction|Thriller,Orion Pictures,29,1979,0.0,0.0
20283,2300000,20000000,Breaking Away,Peter Yates,Drama|Comedy,Twentieth Century Fox Film Corporation,34,1979,6910474.20575366,60091080.0500318
10373,0,0,Quadrophenia,Franc Roddam,Drama|Music,Polytel|The Who Films,30,1979,0.0,0.0
11121,0,0,Tess,Roman Polanski,Drama|Romance,Renn Productions|Soci̩t̩ Fran̤aise de Production (SFP)|Timothy Burrill Productions,33,1979,0.0,0.0
16972,0,0,The Frisco Kid,Robert Aldrich,Western|Comedy,Warner Bros.,16,1979,0.0,0.0
11583,6000000,0,The First Great Train Robbery,Michael Crichton,Thriller|Adventure|Drama|Crime,Starling Films,38,1979,18027324.0150095,0.0
9051,0,0,10,Blake Edwards,Comedy|Romance,Orion Pictures Corporation|Geoffrey Productions,27,1979,0.0,0.0
17264,2700000,37799643,The Black Stallion,Carroll Ballard,Adventure|Family,United Artists,28,1979,8112295.80675429,113571068.668781
11145,0,61801971,The Electric Horseman,Sydney Pollack,Drama|Comedy|Western|Romance,Columbia Pictures|Universal Pictures|Wildwood Enterprises,11,1979,0.0,185687359.330537
