id,budget,revenue,original_title,director,genres,vote_count,release_year,budget_adj,revenue_adj
27022,150000000,215283742,The Sorcerer's Apprentice,Jon Turteltaub,Fantasy|Adventure|Action|Comedy|Drama,871,2010,150000000.0,215283742.0
37056,30000000,0,Letters to Juliet,Gary Winick,Comedy|Drama|Romance,482,2010,30000000.0,0.0
37799,40000000,224920315,The Social Network,David Fincher,Drama,2022,2010,40000000.0,224920315.0
22538,60000000,47664559,Scott Pilgrim vs. the World,Edgar Wright,Action|Adventure|Comedy,1258,2010,60000000.0,47664559.0
39451,100000000,310650585,Little Fockers,Paul Weitz,Comedy|Romance,717,2010,100000000.0,310650585.0
34851,40000000,126248813,Predators,NimrÃ³d Antal,Action|Science Fiction|Adventure|Thriller,722,2010,40000000.0,126248813.0
32657,95000000,226497209,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,Adventure|Fantasy|Family,1175,2010,95000000.0,226497209.0
44048,100000000,167805466,Unstoppable,Tony Scott,Action|Thriller,733,2010,100000000.0,167805466.0
10192,165000000,752600867,Shrek Forever After,Mike Mitchell,Comedy|Adventure|Fantasy|Animation|Family,1191,2010,165000000.0,752600867.0
22971,25000000,114977104,Dear John,Lasse HallstrÃ¶m,Drama|Romance|War,737,2010,25000000.0,114977104.0
34544,110000000,177238796,The A-Team,Joe Carnahan,Thriller|Action|Adventure|Comedy|Crime,1162,2010,110000000.0,177238796.0
39514,58000000,71664962,RED,Robert Schwentke,Action|Adventure|Comedy|Crime|Thriller,2064,2010,58000000.0,71664962.0
23631,20000000,31327899,Machete,Robert Rodriguez|Ethan Maniquis,Action|Comedy|Thriller,753,2010,20000000.0,31327899.0
38365,80000000,271430189,Grown Ups,Dennis Dugan,Comedy,1144,2010,80000000.0,271430189.0
20504,80000000,157107755,The Book of Eli,Albert Hughes|Allen Hughes,Action|Thriller|Science Fiction,1506,2010,80000000.0,157107755.0
35056,55000000,152263880,Date Night,Shawn Levy,Comedy,781,2010,55000000.0,152263880.0
23168,37000000,154026136,The Town,Ben Affleck,Crime|Drama|Thriller,930,2010,37000000.0,154026136.0
23169,20000000,0,Remember Me,Allen Coulter,Drama|Romance,568,2010,20000000.0,0.0
24021,68000000,698491347,The Twilight Saga: Eclipse,David Slade,Adventure|Fantasy|Drama|Romance,1331,2010,68000000.0,698491347.0
38055,130000000,321885765,Megamind,Tom McGrath,Animation|Action|Comedy|Family|Science Fiction,1190,2010,130000000.0,321885765.0
10196,150000000,318502923,The Last Airbender,M. Night Shyamalan,Action|Adventure|Family|Fantasy,732,2010,150000000.0,318502923.0
