id,budget,revenue,original_title,director,genres,vote_count,release_year,budget_adj,revenue_adj
135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Action|Adventure|Science Fiction|Thriller,5562,2015,137999939.280026,1392445892.5238
76341,150000000,378436354,Mad Max: Fury Road,George Miller,Action|Adventure|Science Fiction|Thriller,6185,2015,137999939.280026,348161292.489031
262500,110000000,295238201,Insurgent,Robert Schwentke,Adventure|Science Fiction|Thriller,2480,2015,101199955.472019,271619025.407628
140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Action|Adventure|Science Fiction|Fantasy,5292,2015,183999919.040035,1902723129.80182
168259,190000000,1506249360,Furious 7,James Wan,Action|Crime|Thriller,2947,2015,174799923.088033,1385748801.47052
281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western|Drama|Adventure|Thriller,3929,2015,124199945.352024,490314247.021731
87101,155000000,440603537,Terminator Genisys,Alan Taylor,Science Fiction|Action|Thriller|Adventure,2598,2015,142599937.256027,405355075.683766
286217,108000000,595380321,The Martian,Ridley Scott,Drama|Adventure|Science Fiction,4572,2015,99359956.2816192,547749654.310152
211672,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Family|Animation|Adventure|Comedy,2893,2015,68079970.0448131,1064192016.79551
150540,175000000,853708609,Inside Out,Pete Docter,Comedy|Animation|Family,3935,2015,160999929.160031,785411574.698907
206647,245000000,880674609,Spectre,Sam Mendes,Action|Adventure|Crime,3254,2015,225399900.824043,810220283.783075
76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Science Fiction|Fantasy|Action|Adventure,1937,2015,161919931.51523,169268630.681802
264660,15000000,36869414,Ex Machina,Alex Garland,Drama|Science Fiction,2854,2015,13799993.9280026,33919845.9552677
257344,88000000,243637091,Pixels,Chris Columbus,Action|Comedy|Science Fiction,1575,2015,80959964.3776156,224146025.095748
99861,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Action|Adventure|Science Fiction,4304,2015,257599886.656049,1292632336.88177
273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,Crime|Drama|Mystery|Western,2389,2015,40479982.1888078,143299244.588332
260346,48000000,325771424,Taken 3,Olivier Megaton,Crime|Action|Thriller,1578,2015,44159980.5696085,299709578.207785
102899,130000000,518602163,Ant-Man,Peyton Reed,Science Fiction|Action|Adventure,3779,2015,119599947.376023,477113780.029936
150689,95000000,542351353,Cinderella,Kenneth Branagh,Romance|Fantasy|Family|Drama,1495,2015,87399961.5440169,498963025.216268
131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,War|Adventure|Science Fiction,2380,2015,147199935.232028,598481289.508232
158852,190000000,209035668,Tomorrowland,Brad Bird,Action|Family|Science Fiction|Adventure|Mystery,1899,2015,174799923.088033,192312729.942398
307081,30000000,91709827,Southpaw,Antoine Fuqua,Action|Drama,1386,2015,27599987.8560053,84373003.7158783
254128,110000000,470490832,San Andreas,Brad Peyton,Action|Drama|Thriller,2060,2015,101199955.472019,432851374.985395
216015,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Drama|Romance,1865,2015,36799983.8080071,524079119.045187
318846,28000000,133346506,The Big Short,Adam McKay,Comedy|Drama,1545,2015,25759988.6656049,122678731.541358
177677,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action,2349,2015,137999939.280026,627743451.672881
214756,68000000,215863606,Ted 2,Seth MacFarlane,Comedy,1666,2015,62559972.4736121,198594430.13845
207703,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,Crime|Comedy|Action|Adventure,3833,2015,74519967.2112144,371497801.660967
314365,20000000,88346473,Spotlight,Tom McCarthy,Drama|Thriller|History,1559,2015,18399991.9040035,81278719.3973634
294254,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,Action|Science Fiction|Thriller,1849,2015,56119975.3072108,286356245.923251
280996,0,29355203,Mr. Holmes,Bill Condon,Mystery|Drama,425,2015,0.0,27006774.877019
198184,49000000,102069268,Chappie,Neill Blomkamp,Crime|Action|Science Fiction,1990,2015,45079980.1648087,93903685.2423785
254470,29000000,287506194,Pitch Perfect 2,Elizabeth Banks,Comedy|Music,1264,2015,26679988.2608051,264505582.097543
296098,40000000,162610473,Bridge of Spies,Steven Spielberg,Thriller|Drama,1638,2015,36799983.8080071,149601569.335309
257445,58000000,150170815,Goosebumps,Rob Letterman,Adventure|Horror|Comedy,600,2015,53359976.5216103,138157089.01088
264644,6000000,35401758,Room,Lenny Abrahamson,Drama|Thriller,1520,2015,5519997.57120106,32569603.0293746
339527,0,22354572,Solace,Afonso Poyart,Crime|Drama|Mystery,474,2015,0.0,20566197.1908732
105864,175000000,331926147,The Good Dinosaur,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,1087,2015,160999929.160031,305371920.876354
241554,50000000,71561644,Run All Night,Jaume Collet-Serra,Action|Crime|Drama|Mystery|Thriller,814,2015,45999979.7600089,65836683.5118592
167073,11000000,62076141,Brooklyn,John Crowley,Drama|Romance,754,2015,10119995.5472019,57110024.5915891
277216,28000000,201634991,Straight Outta Compton,F. Gary Gray,Drama|Music,918,2015,25759988.6656049,185504110.098191
274854,90000000,140396650,The Last Witch Hunter,Breck Eisner,Fantasy|Action|Adventure,879,2015,82799963.568016,129164861.167461
321697,30000000,34441873,Steve Jobs,Danny Boyle,History|Drama,1035,2015,27599987.8560053,31686509.2179359
203801,75000000,108145109,The Man from U.N.C.L.E.,Guy Ritchie,Comedy|Action|Adventure,1548,2015,68999969.6400133,99493456.5028791
293863,25000000,42629776,The Age of Adaline,Lee Toland Krieger,Fantasy|Drama|Romance,1221,2015,22999989.8800044,39219376.6634742
325348,10000000,14333790,Hardcore Henry,Ilya Naishuller,Action|Adventure|Science Fiction,396,2015,9199995.95200178,13187080.9976843
228161,135000000,368871007,Home,Tim Johnson,Fantasy|Comedy|Animation|Science Fiction|Family,1060,2015,124199945.352024,339361177.121082
286565,12000000,85512300,Paper Towns,Jake Schreier,Drama|Mystery|Romance,1252,2015,11039995.1424021,78671281.3846362
265208,30000000,0,Wild Card,Simon West,Thriller|Crime|Drama,481,2015,27599987.8560053,0.0
254320,4000000,9064511,The Lobster,Yorgos Lanthimos,Thriller|Comedy|Drama|Romance|Science Fiction,638,2015,3679998.38080071,8339346.45068756
258480,11800000,40272135,Carol,Todd Haynes,Romance|Drama,562,2015,10855995.2233621,37050347.8978469
257211,35000000,194564672,The Intern,Nancy Meyers,Comedy,1255,2015,32199985.8320062,178999419.480255
253412,55000000,203427584,Everest,Baltasar KormÃ¡kur,Adventure|Drama,1172,2015,50599977.7360098,187153294.93255
274479,60000000,101134059,Joy,David O. Russell,Comedy|Drama,1001,2015,55199975.7120106,93043293.3409509
257088,105000000,133718711,Point Break,Ericson Core,Action|Crime|Thriller,505,2015,96599957.4960187,123021159.990689
295964,20000000,36606743,Burnt,John Wells,Drama,631,2015,18399991.9040035,33678188.7415969
238615,26000000,30523226,Self/less,Tarsem Singh,Science Fiction|Mystery|Thriller,719,2015,23919989.4752046,28081355.5642035
210860,60000000,30418560,Mortdecai,David Koepp,Comedy|Adventure,696,2015,55199975.7120106,27985062.8865723
306819,15000000,64191523,The Danish Girl,Tom Hooper,Drama,867,2015,13799993.9280026,59056175.1752829
201088,70000000,17752940,Blackhat,Michael Mann,Mystery|Crime|Action|Thriller|Drama,584,2015,64399971.6640124,16332697.613613
273481,30000000,84025816,Sicario,Denis Villeneuve,Action|Crime|Drama|Mystery|Thriller,1479,2015,27599987.8560053,77303716.7063646
166424,120000001,167977596,Fantastic Four,Josh Trank,Action|Adventure|Science Fiction,1565,2015,110399952.34402,154539320.322699
310131,3500000,40423945,The Witch,Robert Eggers,Mystery|Horror,700,2015,3219998.58320062,37190013.0363942
238713,65000000,235666219,Spy,Paul Feig,Action|Comedy|Crime,1840,2015,59799973.6880115,216812826.082356
256591,50100000,153962963,Focus,Glenn Ficarra|John Requa,Romance|Comedy|Crime|Drama,1831,2015,46091979.7195289,141645863.63582
249070,35000000,82347656,Hitman: Agent 47,Aleksander Bach,Action|Crime|Thriller,820,2015,32199985.8320062,75759810.1856835
205775,100000000,93820758,In the Heart of the Sea,Ron Howard,Thriller|Drama|Adventure|Action|History,805,2015,91999959.5200178,86315059.3813738
334074,20000000,0,Survivor,James McTeigue,Crime|Thriller|Action,280,2015,18399991.9040035,0.0
312221,35000000,137935567,Creed,Ryan Coogler,Drama,1171,2015,32199985.8320062,126900665.803707
271718,35000000,140795793,Trainwreck,Judd Apatow,Comedy,849,2015,32199985.8320062,129532072.565888
333352,13000000,32848185,Eye in the Sky,Gavin Hood,Drama|Thriller|War,265,2015,11959994.7376023,30220316.9030605
276907,25000000,42972994,Legend,Brian Helgeland,Crime|Thriller,619,2015,22999989.8800044,39535137.0845396
284289,0,45895,Beyond the Reach,Jean-Baptiste LÃ©onetti,Thriller,81,2015,0.0,42223.3814217121
266647,150000000,128388320,Pan,Joe Wright,Adventure|Family|Fantasy,586,2015,137999939.280026,118117202.42843
347096,0,0,Mythica: The Darkspore,Anne K. Black,Action|Adventure|Fantasy,27,2015,0.0,0.0
308369,0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Comedy|Drama,569,2015,0.0,0.0
227973,99000000,246233113,The Peanuts Movie,Steve Martino,Adventure|Animation|Comedy|Family,414,2015,91079959.9248176,226534364.284879
321741,35000000,48623572,Concussion,Peter Landesman,Drama,500,2015,32199985.8320062,44733666.5571867
296100,25000000,52395996,The Night Before,Jonathan Levine,Comedy,363,2015,22999989.8800044,48204295.1101101
263472,2500000,5214043,Knock Knock,Eli Roth,Drama|Horror|Thriller,473,2015,2299998.98800044,4796917.44935632
228205,34000000,63013281,The Longest Ride,"George Tillman, Jr.",Romance|Drama,711,2015,31279986.236806,57972193.012235
159824,80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,Animation|Comedy|Family,919,2015,73599967.6160142,428888671.768984
333348,17000000,24000000,Love the Coopers,Jessie Nelson,Family|Comedy,111,2015,15639993.118403,22079990.2848042
285783,35000000,61181942,The Walk,Robert Zemeckis,Adventure|Drama|Thriller,706,2015,32199985.8320062,56287361.8735607
290764,11000000,1863315,Tracers,Daniel Benmayor,Action|Crime|Drama,326,2015,10119995.5472019,1714249.04573042
296099,31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,Adventure|Comedy,846,2015,28519987.4512055,96033410.7052992
243688,35000000,95437994,Poltergeist,Gil Kenan,Horror|Thriller,589,2015,32199985.8320062,87802915.846717
287424,4000000,187112,Maggie,Henry Hobson,Horror,384,2015,3679998.38080071,172142.964257095
301875,0,2000000,Equals,Drake Doremus,Drama|Romance|Science Fiction,135,2015,0.0,1839999.19040035
181283,50000000,3324330,Child 44,Daniel Espinosa,Crime|Thriller,341,2015,45999979.7600089,3058382.2543118
328425,5000000,58978653,The Gift,Joel Edgerton,Thriller|Mystery,631,2015,4599997.97600089,54260336.8854517
274167,50000000,240360392,Daddy's Home,Sean Anders,Comedy,568,2015,45999979.7600089,221131463.342156
370687,0,0,Mythica: The Necromancer,A. Todd Smith,Fantasy|Action|Adventure,11,2015,0.0,0.0
307663,10000000,0,Vice,Brian A Miller,Thriller|Science Fiction|Action|Adventure,181,2015,9199995.95200178,0.0
309809,64000000,97571250,The Little Prince,Mark Osborne,Adventure|Animation|Fantasy,423,2015,58879974.0928114,89765510.5031753
258509,0,233755553,Alvin and the Chipmunks: The Road Chip,Walt Becker,Adventure|Animation|Comedy|Family,278,2015,0.0,215055014.135793
298382,11930000,18340000,The Dressmaker,Jocelyn Moorhouse,Drama,197,2015,10975595.1707381,16872792.5759712
272693,8500000,43528634,The DUFF,Ari Sandel,Romance|Comedy,753,2015,7819996.55920151,40046325.6596167
283445,10000000,52882018,Sinister 2,Ciaran Foy,Horror,331,2015,9199995.95200178,48651435.1533685
256961,30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,Action|Adventure|Comedy|Family,422,2015,27599987.8560053,98989419.0846556
326359,0,0,Frozen Fever,Chris Buck|Jennifer Lee,Adventure|Animation|Family,475,2015,0.0,0.0
254302,0,0,High-Rise,Ben Wheatley,Action|Drama|Science Fiction,161,2015,0.0,0.0
241251,4000000,50163103,The Boy Next Door,Rob Cohen,Thriller,810,2015,3679998.38080071,46150034.4539848
292040,0,0,Spooks: The Greater Good,Bharat Nalluri,Thriller|Action,114,2015,0.0,0.0
188222,30000000,49263404,Entourage,Doug Ellin,Comedy,364,2015,27599987.8560053,45322311.7381828
252838,23000000,79799880,The Wedding Ringer,Jeremy Garelick,Comedy,446,2015,21159990.689604,73415857.2970227
273477,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,Comedy|Horror,288,2015,13799993.9280026,13671898.7043645
298312,5000000,98450062,The Visit,M. Night Shyamalan,Horror|Thriller,729,2015,4599997.97600089,90574017.1874324
261023,53000000,99775678,Black Mass,Scott Cooper,Crime|Drama,848,2015,48759978.5456094,91793583.3708233
336004,8900000,50136,Heist,Scott Mann,Crime|Action|Thriller,233,2015,8187996.39728158,46125.0997049561
287903,15000000,61548707,Krampus,Michael Dougherty,Horror|Comedy|Fantasy,342,2015,13799993.9280026,56624785.5250943
182560,20000000,208588,Dark Places,Gilles Paquet-Brenner,Drama|Mystery|Thriller,322,2015,18399991.9040035,191900.875563614
192141,5000000,54418872,No Escape,John Erick Dowdle,Action|Thriller,519,2015,4599997.97600089,50065340.2112503
308639,700000,17986781,Dope,Rick Famuyiwa,Crime|Drama|Comedy,448,2015,643999.716640124,16547831.2389542
261392,28000000,28208085,American Ultra,Nima Nourizadeh,Comedy|Action,695,2015,25759988.6656049,25951426.7813722
304357,11000000,61619773,Woman in Gold,Simon Curtis,Drama,277,2015,10119995.5472019,56690166.2163268
297291,0,0,The Scorpion King: The Lost Throne,Mike Elliott,Action|Fantasy|Adventure,22,2015,0.0,0.0
266294,30000000,105011053,Sisters,Jason Moore,Comedy,399,2015,27599987.8560053,96610126.2515444
227719,12000000,32248241,Project Almanac,Dean Israelite,Science Fiction|Thriller,637,2015,11039995.1424021,29668368.6659177
86828,0,5189646,Absolutely Anything,Terry Jones,Comedy|Science Fiction,199,2015,0.0,4774472.21923222
287948,25000000,72629670,The Transporter Refueled,Camille Delamarre,Thriller|Action|Crime,407,2015,22999989.8800044,66819266.9995225
201085,55000000,74679822,Crimson Peak,Guillermo del Toro,Mystery|Thriller|Fantasy|Horror|Drama,819,2015,50599977.7360098,68705406.0096213
277355,0,0,Everly,Joe Lynch,Thriller|Action,169,2015,0.0,0.0
264999,14800000,122413057,Magic Mike XXL,Gregory Jacobs,Comedy|Drama|Music,501,2015,13615994.0089626,112619962.887216
146301,10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,Horror|Thriller,267,2015,9199995.95200178,71851557.1453148
223485,0,229094,Slow West,John Maclean,Romance|Thriller|Western,229,2015,0.0,210766.387262789
294016,15000000,8235661,Trumbo,Jay Roach,Drama,273,2015,13799993.9280026,7576804.78620589
290751,19500000,32189727,Secret in Their Eyes,Billy Ray,Crime|Drama|Mystery,202,2015,17939992.1064034,29614535.8096042
309245,0,2500431,Mistress America,Noah Baumbach,Comedy,132,2015,0.0,2300395.50782597
228165,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,Family|Animation,533,2015,68079970.0448131,286666383.306791
245706,0,4719695,True Story,Rupert Goold,Crime|Drama|Mystery,354,2015,0.0,4342117.4894683
